単位[MW平均],,,供給力,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2024/4/1,0:00,7124,0,2288,3722,24,307,1905,144,481,0,0,211,0,0,-1,-1962,5,"7,124"
2024/4/1,0:30,7016,0,2114,3715,23,305,1902,142,481,0,0,205,0,0,-1,-1874,4,"7,016"
2024/4/1,1:00,7227,0,1988,3665,23,301,1908,143,483,0,0,213,0,0,-1,-1500,4,"7,227"
2024/4/1,1:30,7289,0,1964,3638,24,302,1901,143,482,0,0,211,0,0,-1,-1380,5,"7,289"
2024/4/1,2:00,7533,0,2018,3683,24,300,1905,146,481,0,0,179,0,0,-1,-1208,6,7533
2024/4/1,2:30,7660,0,1956,3702,25,304,1912,144,481,0,0,138,0,0,-1,-1006,5,7660
2024/4/1,3:00,7833,0,2176,3820,26,303,1910,146,482,0,0,133,0,0,-2,-1166,5,7833
2024/4/1,3:30,7892,0,1948,3899,26,305,1914,144,481,0,0,111,0,0,-1,-940,5,7892
2024/4/1,4:00,8084,0,1858,4018,27,306,1924,146,484,0,0,116,0,0,-1,-798,4,8084
2024/4/1,4:30,8140,0,1922,3978,28,309,1922,144,484,0,0,133,0,0,-1,-784,5,8140
2024/4/1,5:00,8426,0,2174,4039,29,309,1951,145,486,0,0,132,0,0,-1,-846,8,8426
2024/4/1,5:30,8508,0,2316,3969,29,318,1946,143,479,70,0,121,0,0,-1,-890,8,8508
2024/4/1,6:00,8645,0,2728,3963,29,320,1943,145,477,319,0,116,0,0,-5,-1400,10,8645
2024/4/1,6:30,8564,0,2342,3779,29,323,1946,143,475,931,0,84,0,0,-5,-1500,17,8564
2024/4/1,7:00,8455,0,2346,3463,28,320,2026,147,495,1662,0,71,0,0,2,-2130,25,8455
2024/4/1,7:30,8736,0,2244,3236,27,349,2043,147,523,2468,0,64,0,0,-8,-2378,21,8736
2024/4/1,8:00,8939,0,2350,2821,27,364,2027,148,535,3382,0,71,0,0,-25,-2778,17,8939
2024/4/1,8:30,9450,0,2296,2680,26,325,2044,149,539,4259,0,110,0,0,-33,-2962,17,9450
2024/4/1,9:00,9437,0,2138,2244,26,263,2031,151,540,5279,0,182,0,-52,-20,-3362,17,9437
2024/4/1,9:30,9365,0,1742,2090,25,263,2026,148,505,5966,0,265,0,-272,-9,-3404,20,9365
2024/4/1,10:00,9410,0,1352,2044,25,264,1982,145,420,6481,0,418,0,-442,6,-3304,19,9410
2024/4/1,10:30,9196,0,1662,2109,24,261,1976,143,399,5372,1331,330,105,-442,14,-2670,18,9196
2024/4/1,11:00,9239,0,1530,2010,25,266,1957,143,364,5350,1374,360,142,-442,1,-2340,15,9239
2024/4/1,11:30,9175,0,1862,1832,25,266,1967,140,353,5266,1352,350,204,-440,13,-2476,17,9175
2024/4/1,12:00,8786,0,1728,1784,25,272,1972,142,347,5045,1352,358,379,-292,-36,-2572,13,8786
2024/4/1,12:30,8607,0,1874,1874,24,277,2020,143,404,4340,1715,398,523,-222,-12,-2522,9,8607
2024/4/1,13:00,8896,0,1938,1957,24,277,2067,148,450,4172,1633,408,577,-222,0,-2340,17,8896
2024/4/1,13:30,9046,0,2002,1953,24,279,2087,148,514,4265,1139,584,416,0,4,-2824,10,9046
2024/4/1,14:00,8985,0,2084,2317,25,345,2069,148,523,4117,740,628,363,0,-12,-3274,15,8985
2024/4/1,14:30,8829,0,1864,2488,26,369,2100,149,567,3963,312,665,358,0,3,-3378,13,8829
2024/4/1,15:00,8834,0,1830,2771,27,361,2107,150,557,3372,267,681,348,0,-20,-3016,14,8834
2024/4/1,15:30,8858,0,1966,2734,29,361,2100,145,526,2812,0,1009,0,0,4,-2842,14,8858
2024/4/1,16:00,9112,0,2246,2955,31,364,2149,145,502,1861,0,1087,0,0,5,-2250,17,9112
2024/4/1,16:30,9049,0,2622,3346,32,364,2138,141,470,996,0,1063,0,0,-7,-2126,10,9049
2024/4/1,17:00,9240,0,3114,4029,31,367,2136,139,454,394,0,1071,0,0,3,-2518,20,9240
2024/4/1,17:30,9320,0,3026,4517,32,368,2142,144,465,68,0,1041,0,138,-4,-2634,17,9320
2024/4/1,18:00,9593,0,3394,4835,33,365,2143,140,469,0,0,1067,0,278,-1,-3152,22,9593
2024/4/1,18:30,9625,0,3352,4943,33,368,2152,143,467,0,0,1041,0,286,-1,-3176,17,9625
2024/4/1,19:00,9526,0,3104,4894,33,367,2147,141,470,0,0,1166,0,282,35,-3130,17,9526
2024/4/1,19:30,9311,0,2966,4856,32,367,2148,143,469,0,0,1286,0,286,35,-3290,13,9311
2024/4/1,20:00,9202,0,2436,4582,32,367,2131,141,475,0,0,1341,0,282,-1,-2602,18,9202
2024/4/1,20:30,9056,0,2552,4432,32,366,2120,143,475,0,0,1337,0,144,-1,-2558,14,9056
2024/4/1,21:00,8850,0,2760,4184,30,370,2120,141,476,0,0,1355,0,2,-1,-2600,13,8850
2024/4/1,21:30,8548,0,2422,4072,29,365,2125,144,473,0,0,1384,0,0,-1,-2472,7,8548
2024/4/1,22:00,8440,0,2710,3965,28,325,2108,143,474,0,0,1412,0,0,-1,-2742,18,8440
2024/4/1,22:30,8169,0,2350,3762,26,306,2104,143,469,0,0,1408,0,0,-1,-2412,14,8169
